,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Rain in Last 3 Hours (inches),Snow in Last 3 Hours (inches),Weather Description
236,Guerrero Negro,MX,2019-10-22 06:23:35,27.97,-114.04,71.74,45,0,6.2,0.0,0.0,clear sky
237,Fort Nelson,CA,2019-10-22 06:26:33,58.81,-122.69,33.8,86,90,6.93,0.0,0.0,overcast clouds
238,Santa Isabel Do Rio Negro,BR,2019-10-22 06:26:34,-0.41,-65.02,72.99,94,73,1.23,0.0,0.0,broken clouds
239,Waingapu,ID,2019-10-22 06:26:34,-9.65,120.26,80.92,78,21,9.95,0.0,0.0,few clouds
240,Ilulissat,GL,2019-10-22 06:26:34,69.22,-51.1,14.0,47,0,19.46,0.0,0.0,clear sky
241,Bethel,US,2019-10-22 06:23:20,60.79,-161.76,39.2,86,90,12.75,0.0,0.0,overcast clouds
242,Pisco,PE,2019-10-22 06:26:35,-13.71,-76.2,62.6,82,90,3.36,0.0,0.0,smoke
243,Ibirama,BR,2019-10-22 06:26:35,-27.05,-49.52,62.01,97,97,0.96,0.0,0.0,overcast clouds
244,Victoria,BN,2019-10-22 06:24:30,5.28,115.24,89.6,70,75,5.82,0.0,0.0,broken clouds
245,Key West,US,2019-10-22 06:26:36,47.93,-96.78,39.2,93,90,29.97,0.0,0.0,overcast clouds
246,Daru,PG,2019-10-22 06:26:36,-9.07,143.21,80.76,77,93,13.04,0.94,0.0,light rain
247,Pierre,US,2019-10-22 06:26:36,44.37,-100.35,37.4,74,1,14.99,0.0,0.0,clear sky
248,Sao Joao Da Barra,BR,2019-10-22 06:26:37,-21.64,-41.05,68.65,88,100,5.53,0.0,0.0,overcast clouds
249,Hamilton,CA,2019-10-22 06:26:37,43.26,-79.87,61.0,93,90,5.82,0.0,0.0,light rain
250,Thinadhoo,MV,2019-10-22 06:26:37,0.53,72.93,81.12,78,95,10.98,0.0,0.0,overcast clouds
251,Novyy Urengoy,RU,2019-10-22 06:26:38,66.08,76.63,20.91,92,85,16.55,0.0,0.0,overcast clouds
252,Marsh Harbour,BS,2019-10-22 06:26:38,26.54,-77.06,80.58,82,73,10.76,0.0,0.0,broken clouds
253,Plouzane,FR,2019-10-22 06:26:39,48.38,-4.62,46.4,100,76,4.7,0.0,0.0,broken clouds
254,Saldanha,PT,2019-10-22 06:26:39,41.42,-6.55,43.2,81,0,9.86,0.0,0.0,clear sky
255,Henties Bay,NA,2019-10-22 06:22:38,-22.12,14.28,60.01,85,0,5.99,0.0,0.0,clear sky
256,Gold Coast,AU,2019-10-22 06:26:40,-28.0,153.41,75.99,60,1,14.99,0.0,0.0,clear sky
257,Port Lincoln,AU,2019-10-22 06:26:40,-34.72,135.86,72.52,37,0,8.77,0.0,0.0,clear sky
258,Stelle,DE,2019-10-22 06:26:40,53.38,10.12,53.6,87,75,8.05,0.0,0.0,broken clouds
259,Klaksvik,FO,2019-10-22 06:23:26,62.23,-6.59,41.0,75,78,10.29,0.0,0.0,light rain
260,Goundam,ML,2019-10-22 06:22:57,16.42,-3.66,84.81,46,35,3.74,0.0,0.0,scattered clouds
261,Saint-Marc,HT,2019-10-22 06:26:41,19.1,-72.7,70.75,90,49,3.4,0.0,0.0,scattered clouds
262,Zhob,PK,2019-10-22 06:26:42,31.34,69.45,73.51,12,0,9.89,0.0,0.0,clear sky
263,Ritini,GR,2019-10-22 06:26:42,40.29,22.29,69.01,91,0,1.99,0.0,0.0,clear sky
264,Golspie,GB,2019-10-22 06:26:42,57.97,-3.98,51.01,87,40,21.92,0.0,0.0,light rain
265,Puro,PH,2019-10-22 06:26:43,13.13,123.76,85.08,67,56,6.26,0.0,0.0,broken clouds
266,Nesna,NO,2019-10-22 06:26:43,66.2,13.02,44.6,93,75,43.62,0.0,0.0,shower rain
267,Tebingtinggi,ID,2019-10-22 06:26:43,3.33,99.16,87.98,63,100,2.95,1.06,0.0,light rain
268,Port Moresby,PG,2019-10-22 06:26:44,-9.47,147.16,84.2,74,40,28.07,0.0,0.0,smoke
269,Hualmay,PE,2019-10-22 06:26:44,-11.1,-77.61,55.87,85,13,2.21,0.0,0.0,few clouds
270,Altay,CN,2019-10-22 06:26:44,47.83,88.13,23.07,53,0,2.57,0.0,0.0,clear sky
271,Porcsalma,HU,2019-10-22 06:26:45,47.88,22.57,52.0,93,5,3.36,0.0,0.0,clear sky
272,Shahreza,IR,2019-10-22 06:26:45,32.01,51.87,60.44,28,50,2.64,0.0,0.0,scattered clouds
273,Pacifica,US,2019-10-22 06:26:45,37.61,-122.49,72.0,93,75,3.74,0.0,0.0,broken clouds
274,Bilibino,RU,2019-10-22 06:26:46,68.06,166.44,-5.03,98,0,0.63,0.0,0.0,clear sky
275,Kitui,KE,2019-10-22 06:26:46,-1.37,38.02,74.16,68,27,5.59,0.0,0.0,scattered clouds
276,Kruisfontein,ZA,2019-10-22 06:24:13,-34.0,24.73,53.55,66,31,8.81,0.13,0.0,light rain
277,Lavrentiya,RU,2019-10-22 06:23:06,65.58,-170.99,32.04,88,100,13.35,0.0,0.19,light snow
278,Luganville,VU,2019-10-22 06:26:47,-15.51,167.18,82.4,74,75,8.05,0.0,0.0,broken clouds
279,Berlevag,NO,2019-10-22 06:26:47,70.86,29.09,30.2,80,75,13.87,0.0,0.0,broken clouds
280,Lebu,ET,2019-10-22 06:24:07,8.96,38.73,59.86,66,18,2.98,0.0,0.0,few clouds
281,Moussoro,TD,2019-10-22 06:26:47,13.64,16.49,83.91,50,21,7.7,0.0,0.0,few clouds
282,Gatehouse Of Fleet,GB,2019-10-22 06:26:48,54.88,-4.18,48.99,86,94,5.01,0.0,0.0,overcast clouds
283,Teeli,RU,2019-10-22 06:26:48,51.01,90.2,19.87,67,0,3.87,0.0,0.0,clear sky
284,Elat,CM,2019-10-22 06:26:49,2.91,11.16,68.63,98,89,0.22,0.0,0.0,overcast clouds
285,Santa Catarina De Tepehuanes,MX,2019-10-22 06:26:49,25.34,-105.72,54.52,62,60,2.93,0.0,0.0,broken clouds
286,Pokrovsk,RU,2019-10-22 06:26:49,61.48,129.14,29.61,76,65,5.48,0.0,0.0,broken clouds
287,Santa Cruz Do Sul,BR,2019-10-22 06:26:50,-29.71,-52.43,59.0,98,98,1.34,0.06,0.0,overcast clouds
288,Penalva,BR,2019-10-22 06:26:50,-3.29,-45.17,73.65,97,37,2.44,0.0,0.0,scattered clouds
289,Ambulu,ID,2019-10-22 06:26:51,-8.35,113.61,77.99,84,6,14.23,0.0,0.0,clear sky
290,Anloga,GH,2019-10-22 06:26:51,5.79,0.9,77.0,94,20,4.7,0.0,0.0,few clouds
291,Kailua,US,2019-10-22 06:26:51,21.39,-157.74,82.4,65,75,16.11,0.0,0.0,broken clouds
292,Verkhnyaya Toyma,RU,2019-10-22 06:26:52,62.24,45.0,32.23,82,98,8.28,0.0,0.0,overcast clouds
293,Portage,US,2019-10-22 06:26:52,41.58,-87.18,53.6,71,1,14.99,0.0,0.0,clear sky
294,Muzhi,RU,2019-10-22 06:26:53,65.4,64.7,32.2,97,100,11.63,0.0,3.38,snow
295,Beloha,MG,2019-10-22 06:26:53,-25.17,45.06,85.17,31,0,9.08,0.0,0.0,clear sky
296,Yola,NG,2019-10-22 06:26:53,9.26,12.45,73.71,87,99,2.75,0.0,0.0,overcast clouds
297,Sola,TZ,2019-10-22 06:23:58,-3.17,33.8,75.87,51,0,7.85,0.0,0.0,clear sky
298,Las Palmas,CO,2019-10-22 06:26:54,9.27,-75.33,76.08,88,97,1.01,0.0,0.0,overcast clouds
299,Caconda,AO,2019-10-22 06:26:54,-13.73,15.06,66.85,71,17,2.33,0.0,0.0,few clouds
300,Avera,US,2019-10-22 06:23:32,33.19,-82.53,71.6,94,90,6.93,0.0,0.0,overcast clouds
301,Ardakan,IR,2019-10-22 06:26:54,32.31,54.02,69.8,26,20,2.24,0.0,0.0,few clouds
302,Hit,IQ,2019-10-22 06:26:55,33.64,42.83,79.75,41,84,4.85,0.63,0.0,light rain
303,Nokaneng,BW,2019-10-22 06:26:55,-19.66,22.19,82.54,13,52,7.85,0.0,0.0,broken clouds
304,Wloclawek,PL,2019-10-22 06:26:55,52.65,19.07,48.0,93,36,3.83,0.0,0.0,scattered clouds
305,Broome,GB,2019-10-22 06:23:23,52.47,1.45,46.99,93,51,2.24,0.0,0.0,broken clouds
306,Sergeyevka,KZ,2019-10-22 06:26:56,53.88,67.42,34.81,59,80,19.71,0.0,0.0,broken clouds
307,Kyaikkami,MM,2019-10-22 06:26:56,16.08,97.57,83.16,73,4,4.74,0.0,0.0,clear sky
308,Tanout,NE,2019-10-22 06:26:57,14.97,8.88,83.37,43,0,4.43,0.0,0.0,clear sky
309,Husavik,CA,2019-10-22 06:26:57,50.56,-96.99,37.99,91,100,11.01,0.88,0.0,light rain
310,Ulaangom,MN,2019-10-22 06:26:57,49.98,92.07,26.74,50,0,3.58,0.0,0.0,clear sky
311,Zelenogorskiy,RU,2019-10-22 06:26:58,55.03,87.0,24.8,73,75,13.42,0.0,0.0,broken clouds
312,Uvat,RU,2019-10-22 06:26:58,59.14,68.9,36.27,91,99,14.63,0.31,0.0,light rain
313,Port Elizabeth,US,2019-10-22 06:23:20,39.31,-74.98,61.0,87,90,5.82,0.0,0.0,overcast clouds
314,Mbaiki,CF,2019-10-22 06:26:59,3.87,17.99,73.27,85,78,1.97,0.0,0.0,broken clouds
315,Zaysan,KZ,2019-10-22 06:26:59,47.47,84.87,24.26,64,0,3.2,0.0,0.0,clear sky
316,Dongkan,CN,2019-10-22 06:26:59,34.0,119.83,73.44,34,100,8.86,0.0,0.0,overcast clouds
317,Tirumullaivasal,IN,2019-10-22 06:27:00,11.24,79.84,79.68,79,100,10.38,0.0,0.0,overcast clouds
318,Lynwood,US,2019-10-22 06:27:00,33.93,-118.21,75.2,46,1,1.14,0.0,0.0,very heavy rain
319,Tuburan,PH,2019-10-22 06:27:01,10.73,123.82,89.6,59,40,10.29,0.0,0.0,scattered clouds
320,Misratah,LY,2019-10-22 06:27:01,32.38,15.09,73.6,68,0,11.12,0.0,0.0,clear sky
321,Eirunepe,BR,2019-10-22 06:27:02,-6.66,-69.87,71.87,94,55,1.92,0.0,0.0,broken clouds
322,Norman Wells,CA,2019-10-22 06:24:23,65.28,-126.83,26.6,92,75,5.82,0.0,0.0,broken clouds
323,Moranbah,AU,2019-10-22 06:22:42,-22.0,148.04,85.5,24,1,18.37,0.0,0.0,clear sky
324,Port Hardy,CA,2019-10-22 06:24:35,50.7,-127.42,51.8,93,90,6.93,0.0,0.0,overcast clouds
325,Kindu,CD,2019-10-22 06:27:03,-2.95,25.92,71.62,96,100,2.06,0.19,0.0,light rain
326,Amalapuram,IN,2019-10-22 06:27:03,16.58,82.0,78.8,88,90,6.93,0.0,0.0,moderate rain
327,Tautira,PF,2019-10-22 06:27:03,-17.73,-149.15,80.01,74,2,4.0,0.0,0.0,clear sky
328,Bogashevo,RU,2019-10-22 06:27:04,56.37,85.14,30.0,74,20,17.9,0.0,0.0,few clouds
329,Sao Miguel Do Araguaia,BR,2019-10-22 06:27:04,-13.28,-50.16,74.19,89,83,6.98,3.94,0.0,moderate rain
330,Hare Bay,CA,2019-10-22 06:27:05,48.86,-53.99,37.4,100,90,5.82,0.0,0.0,light rain
331,Sisophon,KH,2019-10-22 06:27:06,13.59,102.97,91.74,55,10,3.24,0.19,0.0,light rain
332,Bolshoye Nagatkino,RU,2019-10-22 06:27:06,54.52,47.97,51.8,81,45,11.18,0.0,0.0,scattered clouds
333,San Quintin,PH,2019-10-22 06:23:53,17.54,120.52,84.92,67,0,7.38,0.0,0.0,clear sky
334,Superior,US,2019-10-22 06:27:07,39.95,-105.17,45.0,74,40,4.7,0.0,0.0,scattered clouds
335,Cao Bang,VN,2019-10-22 06:27:07,22.67,106.25,82.8,63,83,7.43,0.44,0.0,light rain
336,Ciudad Dario,NI,2019-10-22 06:27:08,12.73,-86.12,75.2,94,40,6.93,0.0,0.0,light intensity drizzle
337,Itarantim,BR,2019-10-22 06:27:08,-15.65,-40.06,69.76,96,92,1.1,4.37,0.0,moderate rain
338,Luderitz,NA,2019-10-22 06:23:55,-26.65,15.16,55.4,71,0,4.7,0.0,0.0,clear sky
339,Mazagao,BR,2019-10-22 06:27:08,-0.12,-51.29,80.6,100,7,6.93,0.0,0.0,clear sky
340,Storsteinnes,NO,2019-10-22 06:27:09,69.24,19.23,35.6,69,75,10.29,0.0,0.0,broken clouds
341,Mahon,IE,2019-10-22 06:27:09,51.89,-8.4,45.0,81,75,5.82,0.0,0.0,broken clouds
342,Clarence Town,AU,2019-10-22 06:27:09,-32.59,151.78,82.99,53,0,10.29,0.0,0.0,clear sky
343,Wharton,GB,2019-10-22 06:27:10,53.2,-2.51,46.99,93,0,4.7,0.0,0.0,clear sky
344,Butembo,CD,2019-10-22 06:27:10,0.12,29.29,64.69,91,71,1.9,0.19,0.0,light rain
345,Bucarasica,CO,2019-10-22 06:27:10,8.04,-72.87,73.4,94,75,4.7,0.0,0.0,light intensity drizzle
346,Nyzy,UA,2019-10-22 06:27:11,50.78,34.78,51.76,75,67,3.36,0.0,0.0,broken clouds
347,Haines Junction,CA,2019-10-22 06:27:11,60.75,-137.51,17.49,89,100,2.53,0.0,0.0,overcast clouds
348,Xiongzhou,CN,2019-10-22 06:27:11,32.34,118.83,75.0,52,20,8.95,0.0,0.0,few clouds
349,Nanortalik,GL,2019-10-22 06:23:28,60.14,-45.24,37.11,62,52,0.56,0.0,0.0,broken clouds
350,Omboue,GA,2019-10-22 06:27:12,-1.57,9.26,74.82,93,100,1.34,0.0,0.0,overcast clouds
351,Taksimo,RU,2019-10-22 06:27:12,56.36,114.84,22.14,69,100,3.67,0.0,0.0,overcast clouds
352,Sobolevo,RU,2019-10-22 06:27:13,54.43,31.9,50.13,87,100,3.38,0.0,0.0,overcast clouds
353,Haileybury,CA,2019-10-22 06:27:13,47.44,-79.64,46.4,93,90,17.22,0.0,0.0,light rain
354,Bereznik,RU,2019-10-22 06:27:13,62.86,42.71,31.75,84,93,6.2,0.0,0.0,overcast clouds
355,Denpasar,ID,2019-10-22 06:24:01,-8.65,115.22,86.0,74,20,4.7,0.0,0.0,few clouds
356,Tunceli,TR,2019-10-22 06:27:14,39.11,39.55,57.2,93,75,4.7,0.0,0.0,light intensity shower rain
357,Adwa,ET,2019-10-22 06:27:14,14.16,38.9,69.21,52,0,7.65,0.0,0.0,clear sky
358,Laguna,BZ,2019-10-22 06:27:14,16.17,-88.94,78.8,83,40,4.7,0.0,0.0,scattered clouds
359,Birao,CF,2019-10-22 06:27:15,10.3,22.78,72.05,88,100,8.08,0.0,0.0,overcast clouds
360,Sao Borja,BR,2019-10-22 06:27:15,-28.66,-56.0,53.82,96,0,5.41,0.0,0.0,clear sky
361,Calituban,PH,2019-10-22 06:27:15,10.24,124.29,89.6,59,40,10.29,0.0,0.0,scattered clouds
362,Komsomolskiy,RU,2019-10-22 06:24:22,67.55,63.78,21.67,95,100,8.41,0.0,1.44,light snow
363,Namatanai,PG,2019-10-22 06:22:40,-3.66,152.44,84.78,71,85,14.12,1.31,0.0,light rain
364,Coihaique,CL,2019-10-22 06:24:25,-45.58,-72.07,35.6,98,20,3.36,0.0,0.0,few clouds
365,Calama,CL,2019-10-22 06:27:16,-22.46,-68.93,46.99,26,0,16.11,0.0,0.0,clear sky
366,Nelson,CA,2019-10-22 06:27:17,49.49,-117.29,34.23,99,100,1.7,0.0,0.13,light snow
367,Melfort,CA,2019-10-22 06:27:17,52.87,-104.61,24.8,100,1,4.7,0.0,0.0,clear sky
368,College,US,2019-10-22 06:24:33,64.86,-147.8,28.99,86,75,2.24,0.0,0.0,broken clouds
369,Hearst,CA,2019-10-22 06:27:17,49.69,-83.67,47.14,91,100,16.08,3.0,0.0,light rain
370,Ambon,FR,2019-10-22 06:27:18,47.55,-2.56,51.01,100,0,5.82,0.0,0.0,fog
371,Saint-Georges,CA,2019-10-22 06:27:18,46.12,-70.67,41.0,25,19,4.0,0.0,0.0,few clouds
372,Faya,SA,2019-10-22 06:23:48,18.39,42.45,71.6,22,2,5.82,0.0,0.0,clear sky
373,Geraldton,CA,2019-10-22 06:24:57,49.72,-86.95,44.6,100,90,16.11,0.0,0.0,light rain
374,Katrineholm,SE,2019-10-22 06:27:19,59.0,16.21,48.2,93,40,6.93,0.0,0.0,scattered clouds
375,Padang,ID,2019-10-22 06:27:20,-0.92,100.36,75.88,89,82,3.36,4.56,0.0,moderate rain
376,Wagar,US,2019-10-22 06:27:20,31.44,-87.99,71.01,94,100,3.04,0.06,0.0,overcast clouds
377,Bathsheba,BB,2019-10-22 06:23:23,13.22,-59.52,78.8,78,20,11.41,0.0,0.0,few clouds
378,Talcahuano,CL,2019-10-22 06:27:21,-36.72,-73.12,46.4,87,0,6.93,0.0,0.0,clear sky
379,Saint Anthony,US,2019-10-22 06:24:44,43.97,-111.68,41.0,65,75,10.29,0.0,0.0,broken clouds
380,Sangar,RU,2019-10-22 06:27:22,63.92,127.47,24.84,80,13,10.31,0.0,0.0,few clouds
381,Olinda,AU,2019-10-22 06:24:52,-37.84,145.39,73.99,49,0,9.17,0.0,0.0,clear sky
382,Meulaboh,ID,2019-10-22 06:27:22,4.14,96.13,81.97,75,89,7.54,0.0,0.0,overcast clouds
383,Tura,RU,2019-10-22 06:22:49,64.27,100.22,18.59,84,100,3.22,0.0,0.0,overcast clouds
384,Camacupa,AO,2019-10-22 06:27:23,-12.02,17.48,70.99,57,2,6.35,0.0,0.0,clear sky
385,Marsa Matruh,EG,2019-10-22 06:27:23,31.35,27.25,73.4,64,40,6.93,0.0,0.0,scattered clouds
386,Zorritos,PE,2019-10-22 06:24:17,-3.68,-80.68,71.1,80,94,6.46,0.0,0.0,overcast clouds
387,Onda,ES,2019-10-22 06:27:24,39.96,-0.26,57.99,87,40,8.05,0.0,0.0,moderate rain
388,Kipini,KE,2019-10-22 06:27:24,-2.53,40.53,81.75,78,11,9.75,0.38,0.0,light rain
389,Lima,PE,2019-10-22 06:27:24,-12.06,-77.04,60.8,87,90,6.93,0.0,0.0,overcast clouds
390,Kampong Chhnang,KH,2019-10-22 06:27:25,12.25,104.67,88.16,55,2,6.06,0.0,0.0,clear sky
391,Fuyu,CN,2019-10-22 06:27:25,47.79,124.46,53.47,21,25,7.49,0.0,0.0,scattered clouds
392,Arsenyev,RU,2019-10-22 06:27:25,44.16,133.27,59.07,39,14,4.54,0.0,0.0,few clouds
393,General Roca,AR,2019-10-22 06:27:26,-39.03,-67.58,50.0,29,0,4.7,0.0,0.0,clear sky
394,Skibbereen,IE,2019-10-22 06:27:26,51.55,-9.27,44.6,81,75,5.82,0.0,0.0,broken clouds
395,Toguchin,RU,2019-10-22 06:27:26,55.24,84.4,27.0,69,97,14.58,0.0,0.0,overcast clouds
396,Matara,BI,2019-10-22 06:23:17,-3.48,29.48,66.07,78,68,2.51,0.75,0.0,light rain
397,Vostok,RU,2019-10-22 06:27:27,46.45,135.83,51.42,34,0,3.29,0.0,0.0,clear sky
398,Shenzhen,CN,2019-10-22 06:27:27,22.54,114.05,86.0,51,20,6.71,0.0,0.0,few clouds
399,Broken Hill,AU,2019-10-22 06:24:04,-31.97,141.45,84.2,13,87,9.17,0.0,0.0,overcast clouds
400,Pangnirtung,CA,2019-10-22 06:27:28,66.15,-65.72,27.12,59,80,1.01,0.0,0.0,broken clouds
401,Lipin Bor,RU,2019-10-22 06:27:28,60.26,37.97,35.13,89,100,6.82,0.0,0.0,overcast clouds
402,Rawson,AR,2019-10-22 06:23:28,-43.3,-65.11,48.29,78,97,30.98,0.0,0.0,overcast clouds
403,Ipojuca,BR,2019-10-22 06:27:29,-8.4,-35.06,73.4,88,40,2.24,0.0,0.0,scattered clouds
404,Tefe,BR,2019-10-22 06:27:29,-3.35,-64.71,73.27,89,25,1.83,0.0,0.0,scattered clouds
405,Masuda,JP,2019-10-22 06:27:29,34.68,131.85,75.2,73,75,5.82,0.0,0.0,broken clouds
406,Mujiayingzi,CN,2019-10-22 06:27:30,42.12,118.78,65.53,17,0,2.95,0.0,0.0,clear sky
407,Havelock,US,2019-10-22 06:27:30,34.88,-76.9,64.4,82,90,8.05,0.0,0.0,overcast clouds
408,Mungwi,ZM,2019-10-22 06:27:30,-10.17,31.37,78.46,49,17,5.77,0.0,0.0,few clouds
409,Sao Jose Da Coroa Grande,BR,2019-10-22 06:27:30,-8.9,-35.15,77.76,73,89,13.53,0.19,0.0,light rain
410,Oskemen,KZ,2019-10-22 06:27:31,49.96,82.61,23.0,73,40,4.47,0.0,0.0,scattered clouds
411,Diamantino,BR,2019-10-22 06:27:31,-14.4,-56.44,72.0,92,100,1.16,0.0,0.0,overcast clouds
412,Ucar,AZ,2019-10-22 06:27:31,40.51,47.65,62.6,77,90,8.05,0.0,0.0,overcast clouds
413,Bambanglipuro,ID,2019-10-22 06:27:32,-7.95,110.28,88.21,48,0,16.84,0.0,0.0,clear sky
414,Boa Vista,BR,2019-10-22 06:27:32,2.82,-60.67,78.8,83,40,5.82,0.0,0.0,scattered clouds
415,Siavonga,ZW,2019-10-22 06:27:32,-16.54,28.71,85.57,34,51,11.01,0.0,0.0,broken clouds
416,Weyburn,CA,2019-10-22 06:27:33,49.67,-103.85,27.0,80,0,3.31,0.0,0.0,clear sky
417,Saint-Augustin,CA,2019-10-22 06:27:33,45.63,-73.98,48.0,81,40,5.82,0.0,0.0,scattered clouds
418,Poplaca,RO,2019-10-22 06:27:33,45.73,24.05,46.0,93,0,3.36,0.0,0.0,clear sky
419,Stepnyak,KZ,2019-10-22 06:27:33,52.83,70.79,31.05,69,45,16.82,0.0,0.0,scattered clouds
420,Mount Gambier,AU,2019-10-22 06:27:34,-37.83,140.78,77.0,44,0,9.17,0.0,0.0,clear sky
421,Maceio,BR,2019-10-22 06:24:02,-9.67,-35.74,69.8,100,99,5.82,0.0,0.0,overcast clouds
422,Adre,TD,2019-10-22 06:27:34,13.47,22.2,79.9,38,48,3.38,0.0,0.0,scattered clouds
423,Luau,CD,2019-10-22 06:27:35,-10.7,22.23,72.97,68,42,4.72,0.0,0.0,scattered clouds
424,Sishui,CN,2019-10-22 06:27:35,35.66,117.27,73.0,30,97,3.44,0.0,0.0,overcast clouds
425,Pundaguitan,PH,2019-10-22 06:27:35,6.37,126.17,83.79,72,62,4.76,0.69,0.0,light rain
426,Ewa Beach,US,2019-10-22 06:27:36,21.32,-158.01,82.4,88,75,6.93,0.0,0.0,broken clouds
427,Huarmey,PE,2019-10-22 06:27:36,-10.07,-78.15,57.47,86,88,1.92,0.0,0.0,overcast clouds
428,Kaeo,NZ,2019-10-22 06:27:36,-35.1,173.78,61.0,86,22,15.82,0.06,0.0,few clouds
429,Makokou,GA,2019-10-22 06:27:37,0.56,12.85,70.45,96,100,1.28,0.19,0.0,light rain
430,Stephenville,CA,2019-10-22 06:27:37,48.55,-58.59,41.0,86,40,2.24,0.0,0.0,scattered clouds
431,Auki,NG,2019-10-22 06:27:38,12.18,6.51,76.35,72,51,3.91,0.0,0.0,broken clouds
432,Whakatane,NZ,2019-10-22 06:27:38,-37.96,176.99,61.0,55,3,1.99,0.0,0.0,clear sky
433,Manavalakurichi,IN,2019-10-22 06:27:38,8.13,77.3,87.8,66,75,4.7,0.0,0.0,broken clouds
434,Upata,VE,2019-10-22 06:27:38,8.02,-62.41,75.99,86,31,3.0,0.0,0.0,scattered clouds
435,Havoysund,NO,2019-10-22 06:27:39,71.0,24.66,28.4,79,75,21.92,0.0,0.0,broken clouds
436,Pontalina,BR,2019-10-22 06:27:39,-17.52,-49.45,69.3,92,100,8.23,4.69,0.0,moderate rain
437,Tete,MZ,2019-10-22 06:27:39,-16.16,33.59,91.4,41,35,3.36,0.0,0.0,smoke
438,Nieuw Amsterdam,SR,2019-10-22 06:27:39,5.88,-55.08,77.0,94,72,1.12,0.0,0.0,broken clouds
439,Mocuba,MZ,2019-10-22 06:27:40,-16.84,36.99,92.57,40,28,5.79,0.0,0.0,scattered clouds
440,Filingue,NE,2019-10-22 06:27:40,14.35,3.32,84.96,48,20,6.64,0.0,0.0,few clouds
441,Durres,AL,2019-10-22 06:27:40,41.32,19.44,57.2,93,0,3.36,0.0,0.0,clear sky
442,Tiznit,MA,2019-10-22 06:24:09,29.7,-9.73,49.35,88,45,11.43,0.0,0.0,scattered clouds
443,Griffith,AU,2019-10-22 06:27:41,-34.29,146.06,87.8,17,0,6.93,0.0,0.0,clear sky
444,Weatherford,US,2019-10-22 06:27:42,32.76,-97.8,55.99,75,1,5.03,0.0,0.0,clear sky
445,Kalmunai,LK,2019-10-22 06:27:42,7.42,81.82,78.91,84,100,6.76,0.12,0.0,light rain
446,Kochevo,BG,2019-10-22 06:27:43,42.1,24.92,53.6,81,0,2.1,0.0,0.0,clear sky
447,Thessalon,CA,2019-10-22 06:27:43,46.26,-83.55,55.4,93,90,10.29,0.0,0.0,moderate rain
448,Burnie,AU,2019-10-22 06:23:13,-41.05,145.91,66.0,63,51,8.01,0.0,0.0,broken clouds
449,Vallenar,CL,2019-10-22 06:27:43,-28.58,-70.76,50.45,66,91,1.92,0.0,0.0,overcast clouds
450,Lodja,CD,2019-10-22 06:27:43,-3.52,23.6,72.36,94,100,0.67,0.0,0.0,overcast clouds
451,Kajaani,FI,2019-10-22 06:27:44,64.22,27.73,33.8,100,90,14.99,0.0,0.0,overcast clouds
452,Poum,MK,2019-10-22 06:22:29,41.28,20.71,46.4,87,0,2.24,0.0,0.0,clear sky
453,Santiago Del Estero,AR,2019-10-22 06:27:44,-27.8,-64.26,61.29,60,0,7.27,0.0,0.0,clear sky
454,Camacha,PT,2019-10-22 06:24:10,33.08,-16.33,64.4,68,20,13.87,0.0,0.0,few clouds
455,Taoudenni,ML,2019-10-22 06:27:45,22.68,-3.98,84.13,22,0,7.76,0.0,0.0,clear sky
456,Mankachar,IN,2019-10-22 06:27:45,25.53,89.87,84.38,52,0,4.54,0.0,0.0,clear sky
457,Erdenet,MN,2019-10-22 06:27:45,49.03,104.04,21.63,89,100,14.25,0.0,0.87,light snow
458,Deputatskiy,RU,2019-10-22 06:27:46,69.3,139.9,7.09,79,26,2.35,0.0,0.0,scattered clouds
459,Cayenne,GF,2019-10-22 06:25:00,4.94,-52.33,75.2,94,40,3.67,0.0,0.0,scattered clouds
460,Isoka,ZM,2019-10-22 06:27:46,-10.15,32.64,78.62,50,8,5.99,0.0,0.0,clear sky
461,Lagoa,PT,2019-10-22 06:22:45,37.14,-8.45,55.99,82,20,6.93,0.0,0.0,shower rain
462,Shelburne,CA,2019-10-22 06:27:47,44.08,-80.2,57.0,87,90,5.82,0.0,0.0,light rain
463,Mount Isa,AU,2019-10-22 06:27:47,-20.73,139.49,95.0,17,90,10.29,0.0,0.0,overcast clouds
464,Keti Bandar,PK,2019-10-22 06:27:47,24.14,67.45,89.65,36,100,5.46,0.0,0.0,overcast clouds
465,Gubkinskiy,RU,2019-10-22 06:23:09,64.43,76.5,25.93,88,93,18.57,0.0,0.0,overcast clouds
466,Tenenkou,ML,2019-10-22 06:27:48,14.46,-4.91,80.51,64,72,5.61,0.0,0.0,broken clouds
467,Prachuap Khiri Khan,TH,2019-10-22 06:27:48,11.81,99.79,84.42,70,54,8.68,0.0,0.0,broken clouds
468,Thunder Bay,CA,2019-10-22 06:27:49,48.41,-89.26,51.8,93,90,8.05,0.0,0.0,light intensity shower rain
469,Tadine,NC,2019-10-22 06:27:49,-21.55,167.88,72.39,80,100,11.9,0.13,0.0,light rain
470,Grand Baie,MU,2019-10-22 06:27:50,-20.02,57.58,80.6,69,75,18.34,0.0,0.0,broken clouds
471,Bandarbeyla,SO,2019-10-22 06:27:50,9.49,50.81,81.21,74,0,8.93,0.0,0.0,clear sky
